Genes,M_Log2FC,S_Log2FC,GB_log2FC,H-GBM_log2FC,H1,H2,H3,H4,M1,M2,M3,M4,M_AdjP,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,S_AdjP,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,GB_AdjP,Mus_GeneID,H-GB-Control-1,H-GB-Control-2,H-GB-Control-3,H-GBM-1,H-GBM-2,H-GBM-3,H-GBM-4,H-GBM-5,H-GBM-6,H-GBM_Padj_Value,MSG_Genes,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,H-Control-GBM,H-GBM,H-GBM-Regulated,HBM-UP,HBM-DOWN
Ppih,-0.601253749,0.901528377,1.472779442,#N/A,147.6404269,164.0603419,128.4217679,146.8773373,68.22404518,116.5890584,106.2029091,95.25249163,0.01562326,90.58069077,92.56599622,64.94334316,161.8782919,162.5561837,140.5321571,0.000861419,22.18754026,45.26349221,24.70515153,108.8079219,74.11405391,75.68103622,0.00295172,ENSMUSG00000060288,86.89541958,83.85410012,424.0470264,107.8351941,122.8024576,148.0329085,108.9829997,69.90299193,169.6180902,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0
Tnfrsf19,-2.515940815,-0.802661938,-1.017702827,#N/A,6761.313163,9028.554772,4617.379271,4961.899613,1164.513875,1083.846432,1153.238649,1033.618254,1.80E-34,5263.744586,4461.681018,3797.090628,2477.087243,2149.566477,3125.211811,0.000220236,2189.73955,2783.307723,2397.576135,907.1696622,1450.135223,1279.697522,2.99E-06,ENSMUSG00000060548,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Gmfg,1.019565021,0.816435429,2.038392292,#N/A,40.19529947,76.79420259,58.04373691,61.12286709,125.8616006,131.7024549,112.4501391,106.8372541,7.13E-05,41.26453691,61.71066415,59.70597677,109.4716506,77.45324049,100.513066,0.029553614,9.387036263,12.70554167,16.47010102,58.99224682,62.5058286,35.38334161,0.000776951,ENSMUSG00000060791,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Ctnna3,1.22383962,-1.127307817,-1.699954796,#N/A,84.25553158,104.7193672,132.7750482,73.89480946,190.5568159,223.4623619,283.6242397,229.1208582,2.51E-07,112.7226374,94.32915806,142.4563656,37.26694489,33.46744959,88.414271,0.031408312,399.3757246,549.5146774,365.8715299,69.47975737,190.196307,142.516237,3.78E-07,ENSMUSG00000060843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Ube2s,0.942447209,0.571037211,1.353889403,#N/A,226.4850528,260.9257565,208.2319061,213.473894,458.74789,361.6419867,408.5688387,518.7399206,3.22E-08,179.1484773,157.802984,175.9755105,287.6542309,259.1336811,215.9169566,0.016030617,100.6972981,150.8783074,96.46773456,359.1972362,285.7409307,249.6491325,4.78E-06,ENSMUSG00000060860,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Rrs1,0.727612068,0.972684968,1.089410844,#N/A,204.0684435,245.2178514,209.6829996,268.2107899,359.9406522,338.971892,431.0588665,404.1794915,1.74E-05,130.8387756,179.8425069,199.0199226,381.9861851,333.7182831,285.7176968,9.31E-05,63.14915304,56.38084117,30.58733047,99.63135019,114.2963723,108.115766,0.013970379,ENSMUSG00000061024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Prcp,-1.117783822,1.309520011,0.783556,#N/A,1225.183647,1583.007767,792.2970088,1272.63283,548.1449148,554.8775558,678.4491725,463.3904998,6.26E-07,586.7615858,693.8041812,636.8637522,1709.621097,1594.006813,1452.786074,1.52E-21,331.10637,496.3102216,334.1077636,690.8647572,611.6641798,700.786738,0.001766356,ENSMUSG00000061119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
H2-K1,2.354791896,0.700826779,1.352212532,#N/A,12341.50291,16122.41924,10072.03945,15506.05033,74345.38882,56805.85965,68099.80424,77176.40055,1.80E-41,5482.144696,5619.196761,6467.100011,7922.719565,12894.53022,7737.644727,0.008281002,1329.545682,1497.665725,949.3836804,3365.179946,2593.991887,3691.661975,5.26E-10,ENSMUSG00000061232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Exosc5,-0.47761136,0.565649727,1.0478439,#N/A,374.8984662,394.4429497,281.512124,332.9827834,241.1367114,290.3931177,214.9047103,245.8544041,0.017569701,254.6323863,308.5533207,230.4441209,441.3803785,345.1928372,390.8841455,0.015196925,54.61548371,63.52770837,79.99763354,152.0689029,96.43756412,160.2079078,0.009102639,ENSMUSG00000061286,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Cxcl12,-3.860698149,-1.2118622,-1.484866637,#N/A,29868.19945,42575.40404,26095.01302,32984.45347,2043.192526,2669.673532,2287.735608,2051.790157,4.19E-115,17384.44746,14419.13747,13117.50784,6138.564578,6436.268663,6817.205633,1.78E-16,15375.9654,15659.58011,15872.47164,4834.742362,6947.076378,4974.308108,2.05E-16,ENSMUSG00000061353,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Zic2,-1.550034758,-0.477832441,-0.738978306,#N/A,1613.995871,1751.431416,2572.788638,2264.282927,781.0476897,802.0895407,620.974657,595.9716706,2.02E-16,2187.020456,1953.583311,2011.148691,1327.634912,1438.14412,1649.158823,0.002259235,1342.346186,1802.598725,1115.261126,719.7054112,931.3368461,901.2923405,0.002714793,ENSMUSG00000061524,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Akap6,0.609735009,-1.177941148,-2.523064363,#N/A,578.9669097,282.7422913,573.1819019,293.7546747,646.9521526,598.0586885,708.4358763,687.3625747,0.047997767,524.3615544,460.1852384,467.1730814,206.1327889,182.6366535,252.2133415,4.60E-10,3425.414869,2526.020504,4855.150494,533.552099,625.058286,719.4612794,1.29E-27,ENSMUSG00000061603,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Cd2ap,-1.527919552,-0.690907348,-0.564648676,#N/A,4575.307261,4500.314804,5291.412166,5989.128693,1611.498998,1725.086253,2040.345302,1682.364953,1.36E-27,5466.041462,3787.271617,4443.38164,2465.441323,2664.9652,3352.296886,0.00181307,6031.597482,6398.034329,5966.882313,3352.070558,4987.072181,4095.621791,0.007834022,ENSMUSG00000061665,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Ext1,1.033798417,0.545966247,0.662246625,#N/A,394.2231294,420.6227914,436.7791202,395.0179321,745.7593905,783.7375593,858.3693951,985.9920079,2.66E-14,393.5227788,394.9482506,506.9770659,674.2987841,673.1738432,543.5150975,0.012110642,395.9622569,414.5182971,372.9301446,807.538312,493.7960459,575.9621718,0.014567038,ENSMUSG00000061731,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Cyp2d22,-1.2709481,-0.598252993,-0.79677542,#N/A,1637.185467,1985.304669,1992.351269,2739.58164,1045.709934,988.8479398,653.4602528,772.3174997,1.28E-09,2700.311037,2664.137529,2576.784261,1748.052634,1601.656516,1895.788106,1.52E-06,407.056027,397.0481773,365.8715299,197.9517616,235.7362678,238.8375559,0.0009263,ENSMUSG00000061740,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Rpl34,-0.913027829,0.526511445,0.879139398,#N/A,6778.318867,7369.625464,5121.634235,6827.515482,2747.782234,3220.232974,5296.401551,2594.986799,0.00025262,3799.356752,4029.706369,4414.052388,6041.90344,6283.274608,5310.440319,0.000191276,466.7917124,523.3094977,537.6311548,1175.91212,902.762753,733.2214678,0.000185312,ENSMUSG00000062006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Rapgef2,-0.963569711,-0.733204688,-0.746398423,#N/A,2270.261434,2197.361388,2596.006133,2590.879739,1157.456215,1192.878792,1185.724244,1415.915416,1.02E-14,2577.523879,1905.09636,2265.684698,1227.479997,1387.464839,1442.548632,2.42E-05,4147.363294,4551.760304,4843.386136,2288.899177,3010.995057,2768.746481,5.36E-05,ENSMUSG00000062232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Nectin2,0.714089949,0.630987222,1.383190828,#N/A,351.7088704,453.7839244,539.8067532,343.017881,709.2948146,696.2957655,592.2373992,773.6046955,0.000315499,566.6325434,697.3305049,634.7688057,1044.639049,1059.483833,838.5395597,0.000586047,132.2718746,169.1425235,187.0532902,466.6942193,406.2878859,399.0454637,7.45E-09,ENSMUSG00000062300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Serpinb2,7.409794714,5.821346268,5.876715936,#N/A,0,0.872661393,0,0,57.63755541,14.03386814,17.49224386,79.80614163,4.38E-09,0,0,0,4.658368111,20.08046976,5.584059221,0.002562943,0,0,0,3.932816455,5.357642451,20.64028261,0.004929375,ENSMUSG00000062345,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Rpl7a,0.582182604,1.128263084,0.644750534,#N/A,6571.158477,8046.810705,6801.274872,8165.832587,11184.0383,10502.73101,10654.02596,11949.03892,3.52E-06,3316.259734,3813.719044,4043.246848,8655.24795,8669.025657,7101.061976,2.18E-14,1133.271287,1446.049462,1111.731819,1990.005126,2284.141565,1498.877665,0.007319024,ENSMUSG00000062647,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Phactr2,-1.180661037,-0.405370992,-0.842111431,#N/A,2096.339465,2018.465802,2006.862204,1972.352816,852.8005648,964.0187885,807.1421095,946.0889371,8.31E-29,2092.413957,2173.97854,1780.70457,1489.513204,1462.049441,1614.723791,0.011182038,5191.88442,5801.667966,5305.725401,2330.849219,3617.301595,3140.271568,3.77E-05,ENSMUSG00000062866,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Impdh2,1.056303005,1.004140772,0.633736247,#N/A,901.302292,1237.433855,1069.455852,1320.071473,2390.194135,2268.088997,2154.044887,2601.422778,3.38E-12,804.1552437,916.8441531,1062.137903,1919.247662,1967.886036,1694.761974,2.83E-10,180.0604229,172.3189089,150.5837808,294.9612341,216.9845193,271.2722857,0.040964321,ENSMUSG00000062867,50.20624242,1.87383464,12.52107361,19.47024337,11.16385978,12.29339032,59.1290743,60.58259301,0,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Klhl24,-0.943795914,-0.943465682,-0.887079271,#N/A,2199.91966,2664.235233,2080.142421,2415.721672,1079.821957,1382.875776,1251.944882,1149.465879,6.33E-12,2156.826893,1974.741253,1886.499371,932.8382142,981.0743795,1213.602204,2.31E-09,3033.719447,3521.817332,2826.975197,1486.60462,1656.404458,1929.374988,2.15E-06,ENSMUSG00000062901,447.0286585,495.6292622,1021.719607,530.1897041,715.5019223,477.9055489,540.277424,809.7096565,626.8494636,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Mtap,-0.920470145,0.448184649,0.667721125,#N/A,719.6504578,785.3952537,529.6490993,677.8252276,314.0658632,361.6419867,372.334905,384.871554,3.60E-08,486.1163738,483.9879231,424.2266771,682.4509283,598.5892413,623.5532797,0.007413466,258.5701807,262.051797,224.6992354,406.3910337,429.5043365,349.9019337,0.008199371,ENSMUSG00000062937,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Kcnma1,0.826895439,-1.244623987,-2.538048805,#N/A,315.3785035,163.1876805,296.7486049,139.5790845,449.3376769,372.4372699,397.3238248,406.7538832,0.005233735,281.8065935,228.3294574,241.9663269,95.49654628,87.97158179,133.0867448,5.23E-07,2490.124711,1864.538241,3430.486756,477.1817298,333.0667724,530.7501242,1.57E-25,ENSMUSG00000063142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Rpl27,0.459762482,0.861068484,1.018330206,#N/A,2386.982399,2885.891227,1746.390934,2343.651426,3066.553203,3317.390523,3257.305696,3233.435932,0.012475441,1381.85876,1544.529766,1650.817884,2803.173011,3047.450339,2463.500793,6.00E-09,98.99056423,121.4967422,77.64476196,216.304905,216.9845193,173.9680963,0.001631594,ENSMUSG00000063316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Syne2,-0.798705856,-0.628931054,-0.489762618,#N/A,1126.241372,890.9872823,1063.651479,735.2989682,609.3113001,538.684631,462.2950163,584.3869081,1.25E-05,2217.21402,1582.437745,1934.683142,1116.843755,1192.397418,1396.945482,0.001901844,6810.721492,8399.951239,7842.120958,4977.634693,5249.596662,6188.1533,0.014833356,ENSMUSG00000063450,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Snrnp70,0.657164752,0.478613235,1.072942496,#N/A,1107.689695,1227.83458,1467.780997,1485.194442,2257.274874,1914.003709,1976.623556,2192.094503,7.95E-06,1504.645919,1374.384649,1270.585085,1876.157757,2009.959401,1895.788106,0.000409395,581.1428814,561.4261227,629.3931462,1230.97155,1403.702322,1090.003496,1.21E-08,ENSMUSG00000063511,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Slc22a8,-3.213958869,-1.003004961,-1.302704425,#N/A,8372.990075,10862.01636,7658.145538,14542.68096,897.4990772,1455.204173,1293.1766,818.6565497,5.32E-41,5124.854194,6388.816901,4507.27751,2735.626673,1677.197331,3581.243314,0.001351135,1676.012656,2019.38703,1447.016018,618.7631222,734.8899562,730.272856,1.91E-11,ENSMUSG00000063796,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Klk8,-2.873863031,0.881757139,1.705571171,#N/A,231.122972,289.7235825,145.1093423,194.3159804,36.46457587,34.54490619,22.49002782,23.16952499,8.10E-23,82.52907382,81.10544431,73.32312937,143.2448194,158.7313324,134.9480978,0.000334834,48.64191518,39.70481773,29.41089468,221.5486603,72.32817309,94.35557763,0.000626126,ENSMUSG00000064023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Gpn1,0.384769046,0.488275538,0.609930893,#N/A,548.8204351,602.1363612,486.8418433,574.7374069,722.2338576,736.2383133,712.1842143,715.680883,0.003818967,402.5808479,396.7114124,403.2772115,532.2185567,612.932434,540.7230679,0.002023191,179.2070559,196.9358959,174.1124965,281.8518459,265.2033013,293.8783095,0.029580673,ENSMUSG00000064037,664.2672075,618.8338897,1615.218496,682.956229,576.4611232,526.054661,780.8515988,492.8160931,564.1645173,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Fbln2,-1.444012609,-0.743695521,-1.50619224,#N/A,4510.376393,4364.179627,2427.679296,3806.95111,1159.808768,1463.8404,1845.431727,1083.818891,8.03E-10,1784.439608,1721.72753,1988.104279,915.3693338,914.1394803,1449.994044,0.002621907,3560.246844,4920.221013,2785.799944,932.0774998,1342.982374,1689.554562,3.64E-09,ENSMUSG00000064080,2910.031051,2780.770605,451.5933884,61.40615217,586.6100866,1926.476709,27.82544673,82.71854045,0,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
Rab44,4.32078646,3.979770821,7.331626294,#N/A,0,0,0,0,3.528829923,2.159056637,2.49889198,3.861587498,0.02908008,0,1.763161833,2.094946553,25.62102461,20.08046976,15.82150113,0.000263809,0,0,0,15.73126582,34.82467593,31.45185921,2.16E-06,ENSMUSG00000064147,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
mt-Rnr1,1.219680557,1.280948152,1.448326829,#N/A,13160.86863,14247.0699,14599.45093,18511.10591,32408.77402,29432.26008,38625.37333,40477.16016,1.90E-14,6935.461557,5906.59214,8890.953173,26548.03986,15986.92256,10276.53032,0.000328954,72424.39824,80935.88865,109294.4139,245136.3824,314596.3,157022.4242,5.56E-09,ENSMUSG00000064337,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
mt-Rnr2,1.336178543,1.435630353,1.080424473,#N/A,22030.88904,25778.41755,22770.55799,28848.1687,54733.32839,50023.18323,73050.10925,73229.85812,2.28E-15,12228.39325,10429.98382,14604.9199,47964.88726,33116.51948,19716.38243,7.30E-06,1499449.331,1765418.339,1475790.461,2483568.347,5080375.525,2460922.221,7.44E-05,ENSMUSG00000064339,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Selenop,-0.770596201,-1.110646797,-0.897196387,#N/A,52371.38327,66356.29967,64949.4905,74781.54718,43877.47127,49479.10095,28442.38852,29700.75665,0.000568548,85093.51382,70756.56593,95729.63023,39303.81634,36690.8431,40507.69627,1.52E-13,14578.06732,17002.39705,12964.32238,7914.137646,9383.017813,6620.616364,4.95E-06,ENSMUSG00000064373,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Adamtsl1,1.323420284,-1.004159534,-1.725750923,#N/A,657.8115356,570.7205511,737.1554587,472.5618679,1432.704949,1388.273418,1634.275355,1652.759449,3.99E-16,722.632622,657.6593636,738.4686601,323.7565837,194.1112076,537.9310383,0.010656925,796.1913485,1073.618271,664.6862198,144.20327,254.4880164,365.6278633,1.81E-08,ENSMUSG00000066113,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Wdr6,-1.26709935,-0.470211164,-0.905324989,#N/A,861.8799791,1075.991498,653.7175869,608.4918261,297.5979902,403.7435912,276.1275638,351.4044624,1.12E-08,693.4455105,945.0547424,846.3584076,610.2462225,539.3040449,644.95884,0.029010956,392.5487892,357.3433596,389.4002456,184.8423734,208.9480556,213.2829203,0.000112328,ENSMUSG00000066357,1280.259182,634.2930255,255.4299017,952.5442142,974.3004899,399.0229609,371.0059564,922.7194935,471.9807726,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Tecpr1,-1.205540171,-0.352506714,-0.611058901,#N/A,2317.413612,2307.316723,1845.790834,1747.019261,1052.767594,1005.040865,705.9369843,798.0614163,9.15E-12,2225.265637,1949.175406,1834.125708,1631.593431,1548.108597,1527.240197,0.025823698,860.1938685,952.9156255,924.6785288,524.3755273,644.7029749,621.1742194,0.003371169,ENSMUSG00000066621,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Pilrb2,2.095399495,2.27231641,3.825097428,#N/A,0,5.235968358,2.902186845,2.736844795,4.705106564,19.43150973,7.49667594,14.15915416,0.036837248,3.019356359,1.763161833,4.189893107,17.46888042,10.5183413,14.89082459,0.024812924,0,2.382289064,0,5.243755273,10.7152849,20.64028261,0.033513296,ENSMUSG00000066682,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Pilrb1,2.322749662,2.757561101,4.235682034,#N/A,1.545973057,7.853952537,1.451093423,7.298252787,17.64414962,32.38584956,14.99335188,23.16952499,0.000713986,1.00645212,2.644742749,2.094946553,19.79806447,7.649702764,12.09879498,0.019854841,0,1.588192709,0,3.932816455,16.96586776,11.7944472,0.034539264,ENSMUSG00000066684,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Hmcn1,-5.438172247,-1.217165749,-0.854569942,#N/A,689.5039832,705.983067,584.7906493,895.8605296,12.93904305,26.98820796,8.74612193,16.73354583,5.63E-85,1359.716814,1153.107839,998.2420327,593.9419342,502.9679567,415.0817354,2.17E-09,2754.66846,2736.456038,2905.796395,1221.794979,2203.776928,1214.828062,0.000949378,ENSMUSG00000066842,240.4106608,534.0428723,152.7570981,401.3865557,120.7726649,208.9876355,529.8428815,1486.603628,84.80904508,#N/A,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Ppp1r3c,1.008864655,-0.764713289,-1.313224617,#N/A,504.760203,394.4429497,503.5294177,360.3512313,904.556737,851.7478434,1047.03574,747.8607789,8.74E-09,409.6260127,376.4350513,527.9265315,220.1078932,234.2721472,317.3606991,0.003295178,286.7312895,324.785409,252.9336943,73.41257382,122.332836,150.3792018,2.83E-05,ENSMUSG00000067279,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Zfp763,-1.572447672,-0.595083758,-0.679092866,#N/A,262.0424331,287.1055983,208.2319061,251.7897211,90.57330137,78.80556726,88.71066529,81.09333747,1.56E-17,180.1549294,199.2372871,173.8805639,115.2946107,123.3514571,127.5026856,0.009861667,211.6349994,235.052521,247.0515153,145.5142088,129.4763592,158.2421666,0.025296498,ENSMUSG00000067430,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Zic3,-1.556997024,-0.800343046,-0.572490143,#N/A,1542.88111,1889.311916,2048.218366,2400.212885,783.400243,864.7021832,472.2905842,556.0685998,1.33E-12,2215.201115,1690.872198,2038.382997,1177.40254,1049.921704,1185.681908,5.88E-07,1171.672799,1557.222951,1247.021935,781.3195357,1192.968386,697.8381262,0.049507464,ENSMUSG00000067860,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Il2rb,1.849781188,1.401331349,4.473823211,#N/A,10.04882487,17.45322786,7.981013825,5.47368959,28.23063939,26.98820796,46.22950163,46.33904998,0.00011188,9.058069077,14.98687558,14.66462587,30.27939272,50.67928081,21.40556035,0.041889521,7.680302397,11.11734896,7.058614724,138.9595147,213.4127576,229.9917205,1.98E-25,ENSMUSG00000068227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Shroom4,-0.3654033,-0.399851695,-0.548738517,#N/A,3244.997446,3414.724031,3439.816958,3153.757485,2485.472543,2438.654472,2446.415248,2919.360149,0.002386662,3582.969546,2931.256547,3313.157974,2301.233847,2617.154558,2527.717474,0.011717145,2718.827049,3389.203241,2538.748429,1730.43924,2128.769934,2051.250943,0.010535493,ENSMUSG00000068270,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Usf3,-0.767420219,-0.42232806,-0.572333928,#N/A,664.7684143,662.3499973,758.92186,562.8777462,430.5172506,349.7671752,388.5777029,388.7331415,3.08E-07,1172.516719,975.0284935,1005.574346,810.5560513,742.977381,799.4511452,0.009410262,1648.704915,1710.483548,1696.420405,970.0947255,1175.109578,1252.177145,0.003922576,ENSMUSG00000068284,246.2036888,274.5167747,93.49068299,326.5010042,121.7875612,250.9900525,89.85300506,284.2721672,0,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
Nat8f4,-1.595238182,-1.061096306,-1.370412625,#N/A,370.2605471,405.7875478,193.7209719,228.0703996,97.63096121,127.3843416,106.2029091,64.35979164,1.13E-07,269.7291681,218.6320673,221.0168614,115.2946107,78.40945333,146.1162163,0.000420506,193.7142938,145.3196329,132.937244,52.43755273,69.64935186,59.95510662,7.91E-05,ENSMUSG00000068299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Htra2,-0.670443815,0.52057914,1.534942075,#N/A,201.7494839,250.4538198,167.6012903,124.982579,101.1597911,136.0205681,126.194045,104.2628625,0.019304786,173.1097646,182.4872497,153.9785717,280.6666787,217.0603159,235.4611638,0.033738467,29.86784266,30.96975783,29.41089468,110.1188607,64.29170941,88.45835403,0.000668545,ENSMUSG00000068329,258.7552494,115.2408303,731.2306991,143.7802587,276.0518055,299.6513892,285.7905258,208.5439259,313.4247318,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0
